央视频道,#genre#
CCTV9,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=
CCTV10,http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
CCTV11,http://live.hcs.cmvideo.cn:8088/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
CCTV12,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
CCTV13,http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/cctv13/2000/index.m3u8?ProgramID=&encrypt=
CCTV14,http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?ProgramID=&encrypt=
CCTV15,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv15hd/57/index.m3u8?&&encrypt=
CCTV17,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=
CCTV4欧洲,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=
CCTV4美洲,http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=
CETV-1,http://live.hcs.cmvideo.cn:8088/wd_r3/cctv/cetv1hd/600/index.m3u8?&encrypt=
CETV-2,http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv2/600/index.m3u8?&encrypt=
CETV-3,http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv3/600/index.m3u8?&encrypt=
CETV-4,http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv4/600/index.m3u8?&encrypt=
CCTV兵器科技,http://live.hcs.cmvideo.cn:8088/ws_v/2018/gfjs/gfjs711/1000/index.m3u8?&encrypt=
CCTV央视台球,http://live.hcs.cmvideo.cn:8088/ws_v/2018/ystq/ystq711/1000/index.m3u8?&encrypt=
CCTV女性时尚,http://live.hcs.cmvideo.cn:8088/ws_v/2018/nxss/nxss711/1000/index.m3u8?&encrypt=
CCTV怀旧剧场,http://live.hcs.cmvideo.cn:8088/ws_v/2018/hjjc/hjjc711/1000/index.m3u8?&encrypt=
CCTV第一场,http://live.hcs.cmvideo.cn:8088/ws_v/2018/dyjc/dyjc711/1000/index.m3u8?&encrypt=
CCTV风云剧场,http://live.hcs.cmvideo.cn:8088/ws_v/2018/fyjc/fyjc711/1000/index.m3u8?&encrypt=
CCTV风云音乐,http://live.hcs.cmvideo.cn:8088/ws_v/2018/fyyy/fyyy711/1000/index.m3u8?&encrypt=
CCTV世界地理,http://live.hcs.cmvideo.cn:8088/ws_v/2018/sjdl/sjdl711/1000/index.m3u8?&encrypt=
CCTV风云足球,http://live.hcs.cmvideo.cn:8088/ws_v/2018/fyzq/fyzq711/1000/index.m3u8?&encrypt=
CCTV精品文化,http://live.hcs.cmvideo.cn:8088/ws_v/2018/ysjp/ysjp711/1000/index.m3u8?&encrypt=
CCTV高尔夫网球,http://live.hcs.cmvideo.cn:8088/ws_v/2018/gefwq/gefwq711/1000/index.m3u8?&encrypt=

咪咕卫视,#genre#
江苏卫视,http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=
江西卫视,http://live.hcs.cmvideo.cn:8088/migu/kailu/jxwshd/57/20190820/index.m3u8?&encrypt=
湖南卫视,http://live.hcs.cmvideo.cn:8088/wd-hunanhd-2500/index.m3u8?&encrypt=
湖北卫视,http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?&encrypt=
四海钓鱼,http://live.hcs.cmvideo.cn:8088/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?&encrypt=
安徽卫视,http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/anhuiwshd/2000/index.m3u8?&encrypt=
深圳卫视,http://live.hcs.cmvideo.cn:8088/ws_w/2018/szws/szws711/1000/index.m3u8?&encrypt=
浙江卫视,http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/zhejianghd/2500/index.m3u8?&encrypt=
天津卫视,http://live.hcs.cmvideo.cn:8088/wd-tianjinhd-1200/index.m3u8?&encrypt=
上海东方,http://live.hcs.cmvideo.cn:8088/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
东南卫视,http://live.hcs.cmvideo.cn:8088/wd_r1/2018/bestv/dnws/1000/index.m3u8?&encrypt=
山东卫视,http://live.hcs.cmvideo.cn:8088/wd-shandonghd-1200/index.m3u8?&encrypt=
辽宁卫视,http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?&encrypt=
重庆卫视,http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/chongqing/1000/index.m3u8?&encrypt=
北京卫视,http://live.hcs.cmvideo.cn:8088/ws_w/2018/bjws/bjws2000/2000/index.m3u8?&encrypt=
冬奥纪实,http://live.hcs.cmvideo.cn:8088/wd_r3/btv/btv6/3000/index.m3u8?&encrypt=
广东卫视,http://live.hcs.cmvideo.cn:8088/ws_w/2018/gdws/gdws2000/2000/index.m3u8?&encrypt=
广西卫视,http://live.hcs.cmvideo.cn:8088/wd-guangxiwssd-600/index.m3u8?&encrypt=
黑龙江卫视,http://live.hcs.cmvideo.cn:8088/wd-heilongjianghd-1200/index.m3u8?&encrypt=
四川卫视,http://live.hcs.cmvideo.cn:8088/envivo_v/2018/SD/sichuanTV/1000/index.m3u8?&encrypt=
吉林卫视,http://stream4.jlntv.cn/test2/sd/live.m3u8
吉林卫视,http://live.hcs.cmvideo.cn:8088/envivo_v/2018/SD/jilin/1000/index.m3u8?&encrypt=
河北卫视,http://weblive.hebtv.com/live/hbws_bq/index.m3u8
河北卫视,http://live.hcs.cmvideo.cn:8088/envivo_v/2018/SD/hebei/1000/index.m3u8?&encrypt=
南方卫视,http://live.hcs.cmvideo.cn:8088/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?&encrypt=
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
青海卫视,http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/qinghai/1000/index.m3u8?&encrypt=
云南卫视,http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/yunnan/1000/index.m3u8?&encrypt=
贵州卫视,http://live.hcs.cmvideo.cn:8088/wd-guizhouwssd-600/index.m3u8?&encrypt=
旅游卫视,http://live.hcs.cmvideo.cn:8088/envivo_x/SD/lvyou/450/index.m3u8?&encrypt=
河南卫视,http://live.hcs.cmvideo.cn:8088/wd-henanwssd-600/index.m3u8?&encrypt=
山西卫视,http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/shanxi/1000/index.m3u8?&encrypt=
